_id,estudiante_id,proyecto_id,resultado
1,1,1,Apto
2,2,1,Apto
3,3,1,Apto
4,4,1,Apto
5,5,1,Apto
6,6,1,Apto
7,7,1,No Apto
8,8,1,No Apto
9,9,1,Apto
10,10,1,Apto
11,11,1,Apto
12,12,1,Apto
13,13,1,Apto
14,14,1,Apto
15,15,1,Apto
16,16,1,Apto
17,17,1,Apto
18,18,1,Apto
19,19,1,Apto
20,20,1,No Apto
21,21,1,No Apto
22,22,1,Apto
23,23,1,No Apto
24,24,1,No Apto
25,25,1,Apto
26,1,2,No Apto
27,2,2,No Apto
28,3,2,Apto
29,4,2,No Apto
30,5,2,No Apto
31,6,2,Apto
32,7,2,Apto
33,8,2,Apto
34,9,2,Apto
35,10,2,No Apto
36,11,2,Apto
37,12,2,No Apto
38,13,2,No Apto
39,14,2,Apto
40,15,2,Apto
41,16,2,No Apto
42,17,2,No Apto
43,18,2,No Apto
44,19,2,Apto
45,20,2,Apto
46,21,2,No Apto
47,22,2,Apto
48,23,2,Apto
49,24,2,Apto
50,25,2,Apto
51,1,3,Apto
52,2,3,Apto
53,3,3,Apto
54,4,3,No Apto
55,5,3,Apto
56,6,3,Apto
57,7,3,Apto
58,8,3,Apto
59,9,3,Apto
60,10,3,Apto
61,11,3,Apto
62,12,3,No Apto
63,13,3,Apto
64,14,3,Apto
65,15,3,Apto
66,16,3,No Apto
67,17,3,Apto
68,18,3,Apto
69,19,3,Apto
70,20,3,No Apto
71,21,3,Apto
72,22,3,No Apto
73,23,3,No Apto
74,24,3,No Apto
75,25,3,Apto
76,1,4,Apto
77,2,4,Apto
78,3,4,No Apto
79,4,4,Apto
80,5,4,Apto
81,6,4,Apto
82,7,4,Apto
83,8,4,Apto
84,9,4,No Apto
85,10,4,Apto
86,11,4,Apto
87,12,4,Apto
88,13,4,Apto
89,14,4,Apto
90,15,4,Apto
91,16,4,Apto
92,17,4,Apto
93,18,4,Apto
94,19,4,Apto
95,20,4,Apto
96,21,4,Apto
97,22,4,Apto
98,23,4,Apto
99,24,4,No Apto
100,25,4,Apto
101,1,5,Apto
102,2,5,Apto
103,3,5,Apto
104,4,5,No Apto
105,5,5,Apto
106,6,5,Apto
107,7,5,Apto
108,8,5,Apto
109,9,5,Apto
110,10,5,Apto
111,11,5,Apto
112,12,5,Apto
113,13,5,Apto
114,14,5,Apto
115,15,5,Apto
116,16,5,No Apto
117,17,5,No Apto
118,18,5,Apto
119,19,5,Apto
120,20,5,Apto
121,21,5,Apto
122,22,5,Apto
123,23,5,Apto
124,24,5,Apto
125,25,5,Apto
